#genome,sample_6,sample_7,sample_8,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,mean_depth
OTU_97.3393.0,-0.729049577056917,-0.729049577056917,-0.729049577056917,-0.729049577056917,2.016137101984561,1.5211034385508517,0.21601468949834576,-0.729049577056917,-0.729049577056917,0.6210422323077442,0.00162
OTU_97.38908.0,1.4057418455465749,-0.6522509389608077,-0.6522509389608077,0.12779471323150682,-0.6522509389608077,0.04481113321104775,2.335157941775716,-0.6522509389608077,-0.6522509389608077,-0.6522509389608077,0.00786
OTU_97.29264.0,-0.8212866543823212,-0.8212866543823212,-0.8212866543823212,2.236015399440049,0.30049908019508853,0.09706643402820081,-0.8212866543823212,-0.8212866543823212,1.2072274459675025,0.2656249122807649,0.01413
OTU_97.34782.0,-0.6595028807267158,1.973333533748746,-0.29401084775899194,-0.6595028807267158,-0.21961866405759686,-0.6595028807267158,-0.5010151850150479,1.973333533748746,-0.29401084775899194,-0.6595028807267158,0.02039
OTU_97.41452.0,-0.9324793878422161,-0.9324793878422161,0.06204583003418081,1.2380047025231635,-0.9324793878422161,0.04188653507722671,-0.06562970469319455,-0.9324793878422161,2.2190903904282573,0.2345197979992316,0.04162999999999999
OTU_97.2653.1,-0.7852239093285077,0.24482011060473233,0.5066957088928441,-0.7852239093285077,-0.7852239093285077,-0.7852239093285077,-0.7852239093285077,1.6696919556492793,1.910080325359905,-0.40516855386422235,0.05847
OTU_97.485.0,-0.836283068284426,-0.836283068284426,-0.836283068284426,0.6597947584192062,0.8091310206128537,-0.836283068284426,-0.23893801950983604,2.1830246327944107,-0.836283068284426,0.7684029491054952,0.0616
OTU_97.43450.1,-0.5238734819109236,-0.0022864090863542828,0.1306111190579881,-0.5238734819109236,-0.5238734819109236,-0.5238734819109236,-0.5238734819109236,2.8843050624359203,0.1306111190579881,-0.5238734819109236,0.07332
OTU_97.22593.1,-0.4397866664633794,-0.15716931212227514,-0.08531744237453674,-0.4397866664633794,-0.4397866664633794,-0.4397866664633794,-0.4397866664633794,2.9665241956516244,-0.08531744237453674,-0.4397866664633794,0.08263000000000001
OTU_97.43673.0,0.6309367986454426,-0.6168195785848523,-0.18521498610743145,-0.6168195785848523,-0.6168195785848523,-0.6168195785848523,0.6309367986454426,-0.6168195785848523,2.6242588603256607,-0.6168195785848523,0.08388999999999999
OTU_97.45303.1,-0.8734894282291598,-0.8734894282291598,0.646015654841417,-0.8734894282291598,0.9484374344898606,2.1096384525421725,-0.8734894282291598,-0.8734894282291598,0.646015654841417,0.01733994443092956,0.10629000000000002
OTU_97.37776.1,-0.9210151365664435,-0.1132466269797865,1.108677188998717,-0.55191992751003,-0.9210151365664435,-0.9210151365664435,-0.7732445232458328,1.3777124760308601,1.8428917161701823,-0.12782489376477946,0.13899
OTU_97.17408.1,-0.8078412752125007,0.9821496793981368,1.441374146239365,-0.8078412752125007,-0.8078412752125007,-0.8078412752125007,-0.8078412752125007,0.9821496793981368,1.441374146239365,-0.8078412752125007,0.1395
OTU_97.2889.0,1.2200169841614357,0.8354262364916794,-0.9912347958040418,-0.9912347958040418,0.8452875377139807,-0.9912347958040418,1.2200169841614357,0.8354262364916794,-0.9912347958040418,-0.9912347958040418,0.17087999999999998
OTU_97.27554.1,-1.4581799476377482,0.18774442156645144,0.6089050978918659,-1.4581799476377482,-1.4581799476377482,0.5709769319188451,1.2473625584377097,0.18774442156645144,0.6089050978918659,0.9629013136400566,0.18453999999999998
OTU_97.23.0,-0.9429735912681453,-0.591416518076791,0.8244434753240055,0.02170142549408957,-0.41262807503255783,-0.9429735912681453,-0.9429735912681453,2.329095708957207,0.8244434753240055,-0.1667187181855232,0.31329
OTU_97.42543.0,-1.261527965016875,0.35035911796368024,0.7630304280484174,2.053167135359866,-1.261527965016875,-0.2680599962943591,-0.8202479126375641,0.35035911796368024,0.7630304280484174,-0.6685823884183872,0.32189999999999996
OTU_97.42261.1,-1.0987870647546054,0.7250910055269637,-1.0987870647546054,-1.0987870647546054,1.652111368835101,1.149293470149102,-0.09924797451409036,0.7250910055269637,-1.0987870647546054,0.24280938349438136,0.34243
OTU_97.21068.0,1.7464979281412008,0.012539721119497027,-0.6465129164529921,-0.6465129164529921,-0.6465129164529921,-0.6465129164529921,2.1075001283377572,0.012539721119497027,-0.6465129164529921,-0.6465129164529921,0.38307
